Abies alba,Aa
Abies balsamea,Ab
Abies borisii-regis,Ab
Abies cephalonica,Ac
Abies grandis,Ag
Abies sachalinensis,As
Acacia caven,Ac
Acacia nuperrima,An
Acalypha segetalis,As
Acer yangbiense,Ay
Achillea abrotanoides,Aa
Achillea ageratum,Aa
Achillea alexandri-regis,Aa
Achillea atrata,Aa
Achillea biebersteinii,Ab
Achillea chrysocoma,Ac
Achillea clavennae,Ac
Achillea clypeolata,Ac
Achillea coarctata,Ac
Achillea collina,Ac
Achillea crithmifolia,Ac
Achillea filipendulina,Af
Achillea goniocephala,Ag
Achillea holosericea,Ah
Achillea lingulata,Al
Achillea millefolium,Am
Achillea nobilis,An
Achillea oligocephala,Ao
Achillea pseudoaleppica,Ap
Achillea schischkinii,As
Achillea sieheana,As
Achillea stricta,As
Achillea talagonica,At
Achillea tenuifolia,At
Achillea vermicularis,Av
Acorus calamus,Ac
Actinidia chinensis,Ac
Aegilops tauschii,At
Aeollanthus myrianthus,Am
Aeollanthus parvifolius,Ap
Aeollanthus pubescens,Ap
Aeollanthus suaveolens,As
Aframomum citratum,Ac
Aframomum corrorima,Ac
Aframomum exscapum,Ae
Aframomum letestuanum,Al
Aframomum melegueta,Am
Aframomum pruinosum,Ap
African blue,Ab
Agastache foeniculum,Af
Ageratina havanensis,Ah
Ageratum conyzoides,Ac
Ajuga chamaecistus,Ac
Ajuga chamaepitys,Ac
Alchemilla alpina,Aa
Alkanna orientalis,Ao
Allamanda cathartica,Ac
Allium sativum,As
Alococarpum erianthum,Ae
Aloysia gratissima,Ag
Aloysia triphylla,At
Alpinia calcarata,Ac
Alpinia galanga,Ag
Alpinia laosensis,Al
Alpinia malaccensis,Am
Alpinia nutans,An
Alpinia purpurata,Ap
Alpinia smithiae,As
Alpinia zerumbet,Az
Amaranthus hypochondriacus,Ah
Amborella trichopoda,At
Ambrosia artemisiifolia,Aa
Ambrosia hispida,Ah
Ambrosia microcephala,Am
Ammodaucus leucotrichus,Al
Ammoides atlantica,Aa
Ammoides pusilla,Ap
Amyris elemifera,Ae
Anacardium humile,Ah
Anacardium occidentale,Ao
Anacyclus pyrethrum,Ap
Ananas comosus,Ac
Anaphalis contorta,Ac
Andaliman ,A
Anemia tomentosa,At
Anethum graveolens,Ag
Angelica acutiloba,Aa
Angelica archangelica,Aa
Angelica glauca,Ag
Angelica sylvestris,As
Aniba riparia,Ar
Aniba rosaeodora,Ar
Aniba terminalis,At
Annona cherimolia,Ac
Annona glabra,Ag
Annona montana,Am
Annona reticulata,Ar
Anthemis altissima,Aa
Anthemis carpatica,Ac
Anthemis tinctoria,At
Anthocleista vogelii,Av
Anthriscus cerefolium,Ac
Antirrhinum majus,Am
Anvillea garcinii,Ag
Apostasia shenzhenica,As
Aquilaria agallocha,Aa
Aquilaria crassna,Ac
Aquilegia coerulea,Ac
Arabidopsis halleri,Ah
Arabidopsis lyrata,Al
Arabidopsis thaliana,At
Arabis alpina,Aa
Arabis nemorensis,An
Arachis hypogaea,Ah
Argania spinosa,As
Arnica montana,Am
Artedia squamata,As
Artemisia absinthium,Aa
Artemisia afra,Aa
Artemisia annua,Aa
Artemisia arborescens,Aa
Artemisia armeniaca,Aa
Artemisia aucheri,Aa
Artemisia barrelieri,Ab
Artemisia caerulescens,Ac
Artemisia campestris,Ac
Artemisia chamaemelifolia,Ac
Artemisia ciniformis,Ac
Artemisia copa,Ac
Artemisia deserti,Ad
Artemisia diffusa,Ad
Artemisia eriantha,Ae
Artemisia ferganensis,Af
Artemisia fragrans,Af
Artemisia gallica,Ag
Artemisia gmelinii,Ag
Artemisia gypsacea,Ag
Artemisia haussknechtii,Ah
Artemisia herba-alba,Ah
