Scientific Name,Abbreviation,Wikidata ID
Tordylium trachycarpum,Tt,Q15428022
Torilis arvensis,Ta,Q341578
Trachyspermum ammi,Ta,Q413254
Trachyspermum roxburghianum,Tr,Q673731
Trema orientale,To,
Trifolium medium,Tm,
Trifolium pratense,Tp,
Trinia glauca,Tg,Q882880
Tripterygium wilfordii,Tw,
Tristania neriifolia,Tn,Q18201477
Tristaniopsis collina,Tc,Q7844159
Tristaniopsis exiliflora,Te,Q15388095
Tristaniopsis laurina,Tl,Q3005022
Triticum aestivum,Ta,
Triticum turgidum,Tt,
Triticum urartu,Tu,
Ulva rigida,Ur,Q3548113
unresolved name,un,Q20645915
Uvariodendron calophyllum,Uc,Q17140029
Valeriana alpestris,Va,Q17435436
Valeriana hardwickii,Vh,Q15232254
Valeriana jatamansi,Vj,Q912252
Valeriana officinalis,Vo,Q157819
Varthemia persica,Vp,Q15562292
Vernonia migeodii,Vm,Q15567823
Vernonia perrottetii,Vp,Q15568521
Vigna angularis,Va,
Vigna exilis,Ve,
Vigna indica,Vi,
Vigna marina,Vm,
Vigna minima,Vm,
Vigna mungo,Vm,
Vigna radiata,Vr,
Vigna riukiuensis,Vr,
Vigna stipulacea,Vs,
Vigna trilobata,Vt,
Vigna unguiculata,Vu,
Vigna vexillata,Vv,
Viguiera dentata,Vd,Q15570649
Vitex agnus-castus,Va,Q259318
Viticipremna queenslandica,Vq,Q15375889
Vitis vinifera,Vv,Q30046
Water mint,Wm,Q161232
Waterhousea floribunda,Wf,Q7974146
Waterhousea hedraiophylla,Wh,Q55972777
Waterhousea mulgraveana,Wm,Q39289147
Waterhousea unipunctata,Wu,Q39292083
Wax gourd,Wg,
Welsh onion,Wo,Q27938
Xanthium brasilicum,Xb,Q38789319
Xanthium strumarium,Xs,Q857159
Xanthogalum purpurascens,Xp,Q21300629
Xanthostemon arenarius,Xa,Q15390463
Xanthostemon chrysanthus,Xc,Q2005777
Xanthostemon crenulatus,Xc,Q15391593
Xanthostemon eucalyptoides,Xe,Q15389557
Xanthostemon formosus,Xf,Q15389745
Xanthostemon oppositifolius,Xo,Q5224068
Xanthostemon paradoxus,Xp,Q15389985
Xanthostemon psidioides,Xp,Q15390320
Xanthostemon umbrosus,Xu,Q15391111
Xanthostemon verticillatus,Xv,Q8043121
Xanthostemon whitei,Xw,Q15392141
Xanthostemon youngii,Xy,Q8043122
Xeranthemum annuum,Xa,Q2054752
Xylopia aethiopica,Xa,Q2717116
Xylopia aromatica,Xa,Q8045504
Xylopia brasiliensis,Xb,Q8045503
Xylopia frutescens,Xf,Q17140701
Yulania denudata,Yd,Q24852896
Zanthoxylum brachyacanthum,Zb,Q3024456
Zanthoxylum ekmanii,Ze,Q15396585
Zanthoxylum limonella,Zl,Q15634490
Zanthoxylum nitidum,Zn,Q8066282
Zanthoxylum ovalifolium,Zo,Q11065930
Zanthoxylum parviflorum,Zp,Q65951559
Zanthoxylum pinnatum,Zp,Q18081174
Zanthoxylum procerum,Zp,Q4744506
Zanthoxylum rhetsa,Zr,Q13114182
Zanthoxylum syncarpum,Zs,Q15395016
Zanthoxylum veneficum,Zv,Q65951562
Zanthoxylum zanthoxyloides,Zz,Q9097481
Zataria multiflora,Zm,Q148310
Zea diploperennis,Zd,
Zea mays,Zm,
Zea perennis,Zp,
Zhumeria majdae,Zm,Q15375318
Zingiber neesanum,Zn,Q15337166
Zingiber officinale,Zo,Q35625
Zingiber zerumbet,Zz,Q60980
Zinnia elegans,Ze,Q15245321
Ziziphora clinopodioides,Zc,Q4191806
Ziziphora persica,Zp,Q15376762
Ziziphus spina-christi,Zs,Q2920458
Zostera marina,Zm,
