strain	Camphene	Carene	beta_Caryophyllene	D-Limonene	Eucalyptol	Fenchol	Fenchone	Guaiol	alpha_Humulene	Linalool	Terpinolene	Valencene	alpha-Bisabolol	alpha-Cedrene	alpha-Farnesene	alpha-Phellandrene	alpha-Pinene	alpha-Terpinene	alpha-Terpineol	beta-Farnesene	beta-Myrcene	beta-Ocimene	beta-Pinene	cis-Nerolidol	cis-Ocimene	endo-Borneol	gamma-Terpinene	trans-Nerolidol
216	0.0295765	0	0.32024595	0.947964	0	0.0936846	0.00175623	0	0.0873781	0.0145556	0.0089306	0	0	0	0.0691268	0	0.241058	0	0.0331415	0	0.297254	0.124836	0.216996	0	0	0.00654537	0	0.00588123
217	0.016593	0	0.14218551	0.495084	0	0.0431093	0.00769092	0	0.0433837	0.00659919	0.00469874	0	0	0.00113724	0.0455416	0	0.120525	0	0.00978668	0	0.346307	0.112112	0.114599	0.00861484	0	0.0036914	0	0
218	0.0025718399999999997	0	0.05077323	0.0580132	0.012763980000000001	0.0388308	0	0.013355665	0.013498655	0.018261	0.446181	0.0022541725	0.005427295	0.00745114	0	0	0.054075899999999996	0.016999004999999998	0.0642887	0	0.16711170000000003	0	0.09967780000000001	0.0035424000000000002	0.005274065	0.0023368	0.008682185	0.00498022
219	0.00990812	1.64017e-4	0.39783963	0.3208265	0	0.04084265	0.0026855	0.07878745000000001	0.12309800000000001	0.0499031	0.004884015	0	0.054661	0	0.27728600000000003	2.18108e-4	0.0335915	0	0.04849665	0.03893595	0.5266905	2.183015e-4	0.0629724	0	0	0.011139594999999999	0	0.00953965
220	0.0102399	0	0.324631	0.18295	0.00427613	0.0372899	0.0012028	0	0.0820014	0.0141628	0.00155173	0	0.0304687	0	0.0174965	0	0.0793739	0	0	0	0.0431583	0.0145641	0.0651286	0	0	0	0	0
221	0.00579622	5.728042000000001e-4	0.135338464	0.04727864	0	0.005933372	0.001165488	0.02440412	0.04571584	0.02769602	0.008945822	0	0.003772182	0	0.02548274	9.13912e-4	0.2846812	4.28655e-4	0.008264014	0.121675	0.312449	0.01781538	0.08058382	0.001005582	0	0.002146376	1.49559e-4	0.00322191
222	0.0074898099999999995	0	0.06564144999999999	0.0257592	0.00249131	0	0	0.019770799999999998	0.020016850000000003	0.03134665	0	0	0.01583559	0	0.0454409	0	0.642288	0	0	0.01603935	0.37373599999999996	0.0159178	0.14949800000000002	0	0	0	0	0.0034974200000000002
223	0.00487377	0	0.19295721000000002	0.0174095	0.00160164	0	0	0.00108885	0.0652243	0.0496243	0.00623934	0	0.00626164	0	0.119606	5.68525e-4	0.562043	0	0.00365869	0.167535	0.796623	0.0398813	0.154342	0.00236393	0	0.00248131	0	0.00545836
224	0.0097071	5.01114e-4	0.61109247	0.306931	0.00118816	0.0398749	0.00353741	0.00275931	0.271592	0.138209	0.0183321	0	0.0413897	0	0.294929	0.00102388	0.0388236	0	0.0550974	0.453828	0.224317	0.00763419	0.0631719	0.00870837	0	0.00840974	5.71474e-4	0.0033206
225	0.00196579	0.0306812	0.18388217	0.0235605	0.00842479	0.0046874	0	0	0.0684275	0.0258529	0.42307	0	0	0	0	0.0279027	0.0649385	0.0159645	0.00828305	0.00837058	0.0821946	0.096507	0.0944039	0	0	6.35414e-4	0.00998089	0
226	0.00269244	0.0349253	0.166689	0.0427092	0.00584107	0.00499699	8.93041e-4	0.0012384	0.0668419	0.0374296	0.64107	0	0.00866538	0	0.134265	0.0593277	0.0694085	0.0212698	0.0352625	0.0346602	0.178463	0.177498	0.100593	0	0	0.0024433	0.0150666	0.00367826
227	0.00106723	0.0227251	0.0430637	0.0342826	0	0.00226927	0.00454347	0	0.0156466	0.0152098	0.406256	0	0	0	0.0222943	0.0233157	0.0366635	0.00734389	0.00342907	0	0.153001	0.160394	0.0523164	0	0	3.81908e-4	0.00737592	0
228	0.0140746	0	0.2161124	0.434646	0.00281278	0.0806282	0	0	0.066493	0.0998715	0.00440835	0.0192718	0.0262823	0.0375692	0	0	0.0490095	0	0.0708085	0	0.83667	0	0.0984651	0.00836695	0.0011244	0.00409424	3.03409e-4	6.53222e-4
229	0.012519633333333334	0	0.5112311333333333	0.254883	0.0014147866666666667	0.08786866666666666	0	0.0010102309999999999	0.11097836666666668	0.09602943333333333	0.004298053333333334	0.020197200000000002	0.004357893333333333	0.1053507	0	0	0.0504031	6.81259e-4	0.0566851	0	1.7684	0	0.114746	0.015219033333333333	0.001137411	0.0058627	8.498026666666666e-4	0.031082000000000002
230	0.00311254	0	0.31633946	0.0558221	0.00382356	0.0103157	0.00137816	0.0177182	0.0985689	0.0680711	0.0157086	0	0.108159	0	0.126883	0	0.151297	0	0.0154669	0.0254196	0.803487	0.00119361	0.0816032	0	0	0.0029361	0	0.0143848
231	0.00572362	0	0.061894160000000004	0.0785803	0	0.0127398	0	0	0.0191922	0.0222413	0.0013441	0	0.00535579	0.00282915	0	0	0.302589	0	0.0104125	0	0.371478	0	0.0812788	0.00953592	0.0501272	0.00154349	3.36886e-4	0.00928154
232	0.00450616	0.030002	0.0346181	0.0974019	0	0.00983006	0	0.0335178	0.0137687	0.042071	0.743665	0	0.0213535	0	0.0384169	0.0422516	0.159682	0.0203336	0.0101899	0	1.5629	0.149596	0.124981	0	0	0.0012899	0.0128327	0
233	0.003092755	0.0172747	0.059893169999999996	0.04540285	0	0.005423539999999999	0.005677215	0.0429127	0.0197523	0.025963399999999998	0.468374	0	0.01498435	0	0.06792335	0.029724300000000002	0.144979	0.00902154	0.013060329999999998	0.00553075	0.949468	0.14585199999999998	0.0959567	0	0	0.0017524455	0.007251585	0.002120255
234	0.00884921	0	0.155457	0.261921	0	0.0266351	0.00256824	0.0301438	0.0360593	0.079987	0.00317897	0.00184227	0	0	0.00271546	0	0.0286831	0	0	0	0.214232	0	0.0453985	0	0	0	0	0
235	0.00698877	0	0.09730215	0.1537215	0	0.0106638	0.00236532	0.0081404	0.02256085	0.05621045	0	0	0	0	0.00869023	0	0.02225265	0	0	0	0.134951	0	0.0328345	0	0	0	0	0
236	0.007852853333333333	0	0.6885531	0.25726766666666667	0	0.021363066666666666	0.005257076666666667	0	0.270592	0.040199	0.01141563	0	0.046150199999999995	0.0030126533333333333	0.23728366666666667	0	0.0290435	0	0.01952843333333333	0.30466366666666667	0.317885	0.0033217000000000003	0.05083816666666666	0.009137623333333334	0	0.0029805233333333333	0	0.011836776666666667
237	0.010374004999999999	0	0.178603705	0.2653305	0.00521245	0.038071	0	0.0202025	0.051383200000000004	0.0585956	0.003799815	0.00466972	0.0268298	0.00244455	0	0	0.03769365	0	0.02983105	0	0.2204235	0	0.0590446	0	5.6895e-4	0.0035013300000000004	0	0.00512535
238	0.00959523	0	0.3722451	0.285296	0.0112569	0.089101	0	0.0320494	0.0812143	0.136766	0.00825309	0.0195185	0.0190754	0.0224073	0	0	0.0383553	7.07286e-4	0.0464167	0	0.0334214	0	0.0642352	0.0168428	0.00179804	0.0041798	0.00117171	0.030784
239	0.0108104	0	0.5134567	0.326	0.00614673	0.0397545	0	0	0.212176	0.0465687	0.00443384	0	0.0048855	0	0.0725038	0	0.0413066	0	0.0369716	0.269177	0.236822	0	0.067497	0.00700042	0	0.00826548	0	0.00650085
240	0.0170223	0	0.5489687000000001	0.5460233333333333	0	0.06590856666666667	0.007983083333333333	0	0.180088	0.13944333333333334	0.007386493333333333	0	0.044386300000000004	4.7071333333333337e-4	0.26045166666666664	0	0.08494096666666667	0	0.058751033333333334	0.1162501	0.1243056	0.021495633333333333	0.10086983333333334	0.0011818199999999999	0	0.011122703333333333	0	0.021046099999999998
241	0.0102433	0	0.443829	0.221609	0.00120812	0.0412706	0.00228583	0	0.158733	0.129789	0	0	0.0118942	0	0.0313147	0	0.0306892	0	0	0	0.0738618	0	0.0536806	0	0	0	0	0
242	0.00850484	0	0.3547568	0.165327	0	0.0262205	0.00416248	0.0150319	0.105042	0.039249	0	0	0.23299	0	0.316487	0	0.0305237	0	0.0202031	0.195829	0.270314	0	0.0543646	0	0	0	0	0.0102137
243	0.00325005	0.0406019	0.0620989	0.100981	0.00886577	0.0158391	0.00154333	0.0213547	0.0154147	0.0297923	0.928369	0	0	0	0.0074122	0.0511164	0.0613233	0.0237439	0	0	0.302462	0.214549	0.0864819	0	0	0	0.0156542	0
244	0.00933942	0	0.39503089999999996	0.227461	0	0.0345327	0.00754353	0	0.167347	0.045808	0.00381555	0	0.056687800000000003	0	0.108475	0	0.0439617	0	0.0298152	0.114462	0.151135	0.00107533	0.0592946	0	0	0.00811722	0	0
245	0.0114956	0	0.02746456	0.0599887	0	0.031575	0	0	0.00796748	0.0196937	0.00127056	0	0.0194025	0.00707128	0	0	0.661944	0	0.0139875	0	0.0261259	0	0.198661	0.001834	0.0401777	0.00327094	0	0
246	0.00259996	0.029797	0.19581150000000003	0.0218965	0	0.00458541	0.00280412	0	0.073643	0.00421427	0.260677	0	0	0	0.0657869	0.0185296	0.0678593	0.00618274	0.00906084	0.0506505	0.0616972	0.0265903	0.088245	8.49808e-4	0	5.52254e-4	0.00844067	0
