strain	Camphene	Carene	beta_Caryophyllene	D-Limonene	Eucalyptol	Fenchol	Fenchone	Guaiol	alpha_Humulene	Linalool	Terpinolene	Valencene	alpha-Bisabolol	alpha-Cedrene	alpha-Farnesene	alpha-Phellandrene	alpha-Pinene	alpha-Terpinene	alpha-Terpineol	beta-Farnesene	beta-Myrcene	beta-Ocimene	beta-Pinene	cis-Nerolidol	cis-Ocimene	endo-Borneol	gamma-Terpinene	trans-Nerolidol
148	0.00591242	0	0.1392718	0.157604	0	0.0322051	0.00441389	0.015214	0.0469948	0.0710285	0.00440872	0	0.0151223	0.00167295	0.0256397	0	0.0320503	0	0.04082	0.138877	0.0889187	0	0.0387435	0	0	0.00714006	0	0.00841353
149	0	0	0.13196750000000002	0.14606550000000001	0	0	0	0	0.042638350000000005	0.0160257	0.001739875	0	0	0	0	0	0.149145	0	0	0	0.5758734999999999	0	0	0	0	0	0	0
150	0.007956293333333333	0	0.22832570333333335	0.12408695833333333	0	0.027856541666666665	0.0018650325	6.702115833333333e-4	0.06721891666666667	0.031754475	0.0012719735833333333	0	0.042074933333333335	0	0.11445435	0	0.027837133333333333	0	0.02737789	0.012795293333333332	0.38280216666666667	1.9054816666666666e-5	0.05464109166666667	0	0	0.00708368	0	0.0045163216666666665
151	0.009793012857142857	0	0.45364204	0.25001735714285717	2.512442857142857e-5	0.02959345	0.005636947857142857	0.0016529369285714285	0.17910000714285715	0.08337678571428571	0.002650752142857143	0	0.04255065714285714	0	0.067771	3.454492857142857e-5	0.03724832142857143	0	0.034947621428571427	0.01717322857142857	0.34306403571428573	8.587214285714286e-6	0.06302128571428571	0	0	0.006444426428571429	1.8285285714285715e-5	0.009360825714285714
152	0.00677095	0	0.19837716	0.195826	0	0.0421095	0	0	0.0659531	0.0400581	0.00379441	0.0091352	0.0162503	0.0514324	0	0	0.0186726	0	0.0313877	0	0.0112804	0	0.037171	0.00924246	0.00223911	0.00351285	0	0.00702123
153	0.00205944	0	0.052193399999999994	0.06545	0	0.0141817	0	0	0.0211595	0.00467978	0.393671	0.00408958	0.00142738	0.0143072	0	0	0.0455337	0.0146337	0.0230557	0	0.0988698	0	0.0691461	0.00598995	0.0751821	0	0.00781917	0.00142319
154	0.006166766666666667	0	0.155014283	0.42736833333333335	2.9077666666666668e-5	0.022998043333333332	0.001867291	8.91564e-4	0.04642337	0.04338546	0.011916167666666666	7.015203333333333e-4	0.012634486666666667	0	0.028692193333333334	0	0.06643319333333333	0	0.015839883333333332	0.0014203233333333334	0.3332188	0	0.039569306666666665	1.4396033333333334e-4	0	0.004013948333333333	1.2448066666666667e-5	0.0026118456666666665
155	0.00741514	0.0591732	0.204818	0.139789	0.00907263	0.0169089	0.00266577	0	0.0612772	0.00810248	0.85809	0	0.0182019	0.00110769	0.116889	0.0542897	0.120037	0.0206962	0.0175454	0.0355558	0.214731	0.0915546	0.178137	0	0	0.00188249	0.0180651	0
156	0.006414063333333333	0.0077275166666666666	0.2774763433333334	0.1774529	0.006736393333333333	0.026713109999999998	7.628733333333333e-4	0.013285033333333333	0.11549126666666668	0.058051693333333335	0.17849769999999998	0	0.10107436666666667	0	0.11716093333333333	0.013226748333333333	0.12268676666666667	0.004397933333333334	0.0163148	0.022715966666666667	0.26221633333333333	0.023482883333333333	0.09552566666666666	0	0	0.002961716666666667	0.0032798733333333336	0.0024016666666666665
157	5.85735e-4	0	0.0304535	0.0146859	0	0.00679263	0.00108644	0	0.00694379	0.00897969	0.2377	7.32168e-4	0	0.00353803	0	0	0.0194095	0.00868682	0.0106519	0	0.0643977	0	0.0264478	8.83325e-4	0.0885782	0	0.00314596	0
158	0.0037094315384615384	0.01487383846153846	0.15542743692307692	0.12357960769230769	0.0012464653846153847	0.008222711538461538	0.0014619042307692307	0.05103926923076923	0.04630371153846154	0.04810927692307692	0.612894	1.9893346153846154e-4	0.013385507692307692	0	0.008569707692307691	0.02449063076923077	0.31914665384615387	0.007795669230769231	0.01787429230769231	0.008565426923076923	1.1689112692307693	0.00323198	0.10181653846153846	1.8019423076923077e-4	0	0.0017769992307692308	0.005439803846153846	0.004984211538461538
159	0.00146593	0	0.05770184	0.0424012	0	0.007887	0	0	0.022447	0.00356938	0.407131	0.00276007	7.36782e-4	0.0178736	0	0	0.0365757	0.0146707	0.0195343	0	0.108589	0	0.0575224	0.00798626	0.0986562	0	0.00687154	0.00316091
160	8.39243e-4	0	0.1369609	0.131895	0.002699	0.0157968	0	0.0198766	0.03791	0.016049	0.070207	0	0.0409152	0	0.00414692	0	0.016062	0	0.0227101	0	0.0136273	0	0.0115386	0	0	0.00134775	0.0192438	0.00321546
161	0.00686244	0	0.0188615	0.117479	0	0.0384504	5.10504e-4	0.0368376	0.00646939	0.0144658	0.00161735	0.00246216	0.0041518	0.0107658	0	0	0.171014	0	0.0213915	0	0.808805	0	0.101486	0	5.46646e-4	0.00274678	0	0.00276485
162	0.0161511	0	0.31091511	0.401129	0	0.10052	0	0	0.113511	0.120396	0.00549778	0.0125156	0.107969	0.0428578	0	0	0.105702	2.66667e-4	0.0825867	0	0.10524	0	0.123311	0.0107378	0.01064	0.00308889	1.82222e-4	0.00356889
